step,epoch,lr,loss,grad_norm_global,grad_norm_encoder.blocks.0,grad_norm_encoder.blocks.1,grad_norm_encoder.blocks.2,grad_norm_encoder.blocks.3,grad_norm_encoder.blocks.4,grad_norm_encoder.blocks.5,grad_norm_encoder.blocks.6,grad_norm_encoder.blocks.7,grad_norm_encoder.blocks.8,grad_norm_encoder.blocks.9,grad_norm_encoder.blocks.10,grad_norm_encoder.blocks.11
640,0,2.375726401805878e-06,3.1368279457092285,8.751915686666912,2.4813312052285896,1.383700691922505,1.4038261595124586,1.4699732069733233,1.196512438588682,1.3609955285178634,1.061382455997344,0.9800838818367732,0.8186807527391461,0.6874065359186406,0.5544521120485291,0.49685346864652535
650,0,2.375726401805878e-06,3.280855894088745,7.245409657060289,2.2109659186880335,1.2296013345723777,1.1915407428791478,1.2971694099592657,1.1699135924127304,1.151824893410183,0.8926927016372562,0.7984381521227357,0.7703758984425533,0.6247055806418205,0.5066254379444624,0.4856199237404086
660,0,2.375726401805878e-06,3.3639097213745117,6.979274624734776,1.6928311875831477,1.0325151650762332,0.9665058573392578,1.1134772113613478,0.9429825129648169,0.9995881978937844,0.8149430173594558,0.7670748165452994,0.6587216864643548,0.5704259250416055,0.4831577253346531,0.4445930363778895
670,0,2.375726401805878e-06,3.2040011882781982,7.521555448954701,1.7900150577796412,1.1245990723955457,1.1226850297037687,1.3194078469559543,1.131882575592259,1.2761927543535942,0.9539800823915184,0.8491677961023811,0.6815902206311432,0.617312528390701,0.5013410779277577,0.45170046824582416
680,0,2.375726401805878e-06,3.0740771293640137,7.660769890438166,2.1776798320577155,1.2050116197896357,1.2596482193098288,1.4741564218525351,1.2922058645110157,1.1445285295113476,0.9051845723702548,0.832150670441584,0.708540801260758,0.6351758117770768,0.5497471629183988,0.4481178620954576
690,0,2.375726401805878e-06,2.44252347946167,9.037315343841124,3.211766186482698,1.5085452416313612,1.3512458158075593,1.5342274425691536,1.2176788716687532,1.2098452646115025,0.9473439103076641,0.8483947985757213,0.7240771422902683,0.6134236628388008,0.5185832644352306,0.4923264943821372
700,0,2.375726401805878e-06,2.5962023735046387,7.033710397315182,1.9832992886894376,1.1592568232612706,1.1220295072430402,1.3688462007094988,1.1989230716227968,1.2502126920111232,1.0885293282651975,1.057562779016517,0.8929964441220608,0.7441491908695224,0.6209060095951352,0.48652984338477273
710,1,4.751452803611756e-06,3.2393147945404053,8.066900283954153,2.1091081406100747,1.2876145476705936,1.2619511485360697,1.5861950345220281,1.3284498582858917,1.2637460694805893,1.0550663229511696,0.930010333437801,0.8227535946078517,0.6927828073141018,0.6067624272001817,0.510760689396104
720,1,4.751452803611756e-06,3.3528904914855957,8.93053860368207,2.1846170223515533,1.1638068317646058,1.0965598873238929,1.3204410574992507,1.1657102423953891,1.2328485141112246,1.0018482158993811,0.9533771050696868,0.7393827366266067,0.644884309393359,0.5653025818532349,0.5860119750828149
730,1,4.751452803611756e-06,2.9533329010009766,6.369166794020473,1.604166471894246,0.9569488242657799,0.8487933756187858,0.9943364782805837,0.8129147663095805,0.8826842343024336,0.7158512255568794,0.6200748586851,0.568786414738454,0.4648729554210839,0.4110368704922591,0.391948456954283
740,1,4.751452803611756e-06,2.9023807048797607,7.882696471104677,1.8345920771382909,1.075226288455052,1.0633713993543132,1.270074026990227,1.0860043668217865,1.145557681662927,0.8601525088746649,0.8003763438680567,0.667829862598844,0.5906806487197207,0.5332598003830533,0.47425346257851775
750,1,4.751452803611756e-06,2.869197368621826,7.605503421288424,1.5379783506647797,0.9370619985779056,0.9210140393309967,1.084304656522893,0.9978347910303829,1.1210718995835731,0.8321616478624735,0.7194052145887805,0.6149447890286205,0.5565888140681453,0.46563446126788466,0.4038404068453653
760,1,4.751452803611756e-06,3.7268104553222656,6.318890058939706,1.6939899512594363,1.0196703590779979,0.9901542712440461,1.1852482396586765,1.0334265017941218,1.0316436100057709,0.829595716075997,0.7060484537839808,0.5915756088879375,0.5270941755581554,0.4361425451475656,0.4096177223142488
770,1,4.751452803611756e-06,3.451831817626953,8.083394974493618,2.4148318615755815,1.311989594836616,1.3427118551264516,1.6178627178535199,1.480645072430387,1.4034567451098843,1.1859479569888016,0.9829832084952153,0.896738676812458,0.7291097137033593,0.6380830613611926,0.542320986173789
780,1,4.751452803611756e-06,2.355241298675537,7.325893500068238,2.0819086019050514,1.1389589569147276,1.0747430346687687,1.2757391666737847,1.1390311739879162,1.1002836371472748,0.8526200112634041,0.7952211390801186,0.7297689373687649,0.5824868324007307,0.49728183136129334,0.41258649642988715
790,1,4.751452803611756e-06,2.802675247192383,7.15034216885261,2.2739365212597655,1.201202335591716,1.161104218774671,1.2287398461194452,1.0617377710944453,1.1111806772111126,0.8929505751816188,0.7918349625717463,0.7025786966070019,0.5604253365720412,0.4800463315323278,0.4228460300334645
800,1,4.751452803611756e-06,2.4689536094665527,6.764795243110962,1.8227283858548933,1.0758730304327435,1.0485762508554568,1.2445635936763269,1.044842705459788,0.9856683795174653,0.7360304556685354,0.6585772201651254,0.5785920319485627,0.49357995297491936,0.4047328561855714,0.3489742905190899
810,1,4.751452803611756e-06,3.2691807746887207,7.457022728236239,2.5917427090162413,1.3212271462068939,1.2930422858259008,1.3629042212436624,1.1384327176856444,1.2422254831469066,0.9641849927424616,0.8692692783657137,0.7178699442823028,0.6437748378143369,0.5187134191388576,0.4415983342631722
820,1,4.751452803611756e-06,3.4237730503082275,6.865174200937697,1.7607746486820695,1.074242504680852,1.152161987464762,1.362355098295846,0.9777780654069195,0.907754624834564,0.6923643080369942,0.6078591986180967,0.5257665711423647,0.4239324340735126,0.36990302017739307,0.3343469582834432
830,1,4.751452803611756e-06,3.2559876441955566,6.961062518174559,1.9671417670584574,1.1235808326455385,1.0783385399461722,1.229830606610379,1.015922906416453,1.0144018647371897,0.841423274541406,0.7927822372527915,0.6771492753173772,0.5611041645357875,0.4513418521271108,0.3861663304256503
840,1,4.751452803611756e-06,3.0956950187683105,7.892255433077411,2.6259025421967093,1.3799237685510333,1.2851816400596823,1.393996330748757,1.152638340174976,1.119351638823249,0.8769553288839493,0.7485475845706417,0.6364422848947228,0.5303309340431099,0.43917179938420187,0.3970703819431249
850,1,4.751452803611756e-06,3.2602486610412598,7.265062031772137,2.2452560315397134,0.9873396615124215,0.938460970483864,1.1185615638966702,0.873300101411845,0.7925737202482087,0.6611202573490946,0.5887105822407561,0.5133132162839779,0.4300377359023236,0.39248659679153824,0.34442736343735525
860,1,4.751452803611756e-06,3.087714195251465,6.605383791867,2.090723683676912,1.0969098834547653,1.05125164847251,1.1896503779603613,0.9988126918623418,1.0534634232605173,0.7950871182014612,0.7287269470228916,0.6196595698616891,0.5442711339907653,0.44009836558911436,0.38831655919978547
